gene	pause_sum	body_density
Tcf24	9.19386497139931	0.0804360718203523
Ppp1r42	1.41814497113228	0.0019341154773113
Cops5	85.9334249198437	0.0384385124459365
Cspp1	756.197381913662	0.0254058947988453
Arfgef1	5.56534001231194	0.0219468799772712
Rnf152	6.98348507285118	0.0068474169675437
Pign	322.371615976095	0.0171639551516065
Relch	33.6940849125385	0.0252412666679433
Tnfrsf11a	5.69227495789528	0.00174597157327615
Phlpp1	10.7980251312256	0.0146929217741107
Bcl2	1.8974249958992	0.00292561273134847
Kdsr	153.332449406385	0.0335362723951963
Vps4b	185.665255844593	0.0386704052081501
Serpinb5	3.02230995893478	0.000813672501554583
Serpinb8	1.4378399848938	0.00102329720991957
Prex2	10.005794852972	0.00636045645296046
Dsel	12.9887149035931	0.0120144088515664
A830018L16Rik	14.9649198949337	0.00441961263207601
Nifk	38.0273007750511	0.0601614604270754
Clasp1	223.670733362436	0.0322492704118591
Tfcp2l1	46.9476003646851	0.0393576233326466
Gli2	4.91973498463631	0.0313433659035931
Inhbb	1.75079497694969	0.0181995055988715
Ralb	20.2260698080063	0.0197611779612724
Tmem185b	7.46276497840881	0.045682714105009
Epb41l5	87.9096003174782	0.0229287979797148
Ptpn4	23.6401148438454	0.0242400845372942
Tmem177	99.93759521842	0.0326434413278037
Sctr	4.58708491921425	0.000780455156713808
Tmem37	3.50158998370171	0.0259032440449836
Dbi	215.535980135202	0.055599572378275
3110009E18Rik	164.460950136185	0.0234889086975166
Steap3	7.94204497337341	0.004934571346693
Insig2	76.5535047650337	0.0148110750732982
Ccdc93	20.3442398607731	0.0200858695429924
Htr5b	25.351529955864	0.000790572837616804
Ddx18	17.4488649666309	0.0557851078766071
Actr3	22.661859869957	0.0430011849470718
Slc35f5	26.6033252179623	0.013559142878621
Gpr39	0.792234987020493	0.00108039170909734
Lypd1	0.312954992055893	0.00114958195016618
Mgat5	38.9376846253872	0.011544319869428
Sulf1	56.7082595527172	0.0116998719541524
Ccnt2	192.716758400202	0.0664567598192885
Rab3gap1	98.0226451456547	0.0184249686484464
Zranb3	183.982395917177	0.0172653589639396
R3hdm1	141.01778447628	0.0265294121016804
Ubxn4	63.0548950433731	0.0220308533156581
Lct	10.7586399614811	0.00955428638886751
Mcm6	78.1664642095566	0.0579008488062298
Cxcr4	95.9873651266098	0.0135889008864243
Cd55b	1.10519003868103	0.00112484090824515
Slco5a1	1.58447000384331	0.00268652564689015
C4bp	0.4792799949646	0.00174747415256292
Pfkfb2	77.8819855153561	0.0177641512172241
Yod1	5.08605998754501	0.0292844915020838
AA986860	6.48450994491577	0.0157813853698309
Mapkapk2	56.7367406785488	0.0193736384478093
Dyrk3	3.66791495680809	0.0693723973146874
Eif2d	61.7462148368359	0.0460243552575409
Rassf5	7.46276491880417	0.00342328330356846
Ikbke	4.27412992715836	0.00541684565286239
Srgap2	39.4454247057438	0.0292785019784141
Rab7b	2.04405498504639	0.00160786096313215
Slc26a9	0.312954992055893	0.000836134240399062
Pm20d1	64.2585651278496	0.00975940786976858
Slc41a1	36.8827203512192	0.041805583675831
Rab29	7.71663492918015	0.0123926347448314
Prdm14	2.68965995311737	0.00802018368311722
Slc45a3	5.23268988728523	0.00868283307575752
Mfsd4a	2.37670502066612	0.000819860677525874
Cdk18	14.7985950112343	0.00954339813316339
Gm29695	1.58446997404099	0.0377163939152632
Lemd1	6.00522997975349	0.0135339279453755
Klhdc8a	0.958559989929199	0.00403102597809563
Nuak2	44.8247247934341	0.0294276328978125
Tmcc2	6.48450991511345	0.014109285501515
Dstyk	31.3961492776871	0.014714142862231
Rbbp5	108.770375728607	0.0439427629774076
Tmem81	5.52594995498657	0.0649693253620654
Cntn2	0.792234987020493	0.00876925854166114
Nfasc	18.5343700051308	0.0106701853202578
Lrrn2	1.10518997907639	0.00291451332028865
Mdm4	23.9727650284767	0.107124423644233
Pik3c2b	11.2379198074341	0.00946054653810318
Ppp1r15b	74.8224708139896	0.140021559618958
Plekha6	6.94409489631653	0.00371968486561087
Golt1a	2.23007500171661	0.00848471766399448
Gm28040	2.23007500171661	0.00828376041951159
Etnk2	43.9734248518944	0.0111343178055743
Sox13	3.81454494595528	0.0206076656799035
Snrpe	100.456269234419	0.163048386639952
Zbed6	65.0420054197311	0.0951051235727529
Zc3h11a	69.2855651974678	0.0978138467921777
Atp2b4	10.9446600079536	0.001507524076816
Adora1	7.29643991589546	0.00552410524260749
Ncoa2	43.8180299699306	0.0199333798493773
Ppfia4	0.4792799949646	0.0241241251859082
Tmem183a	24.0997000336647	0.0712491730091965
Adipor1	10.7980300188065	0.062700816658902
Klhl12	21.7426898479462	0.025456228989046
Rabif	62.1160651445389	0.0397539009682334
Mgat4e	1.75079497694969	0.00448427220578384
Kdm5b	862.682468026876	0.111291819635982
Ppp1r12b	56.8943002521992	0.0100026658923301
Ube2t	182.382559984922	0.0766346485707096
Lgr6	0.625909984111786	0.00198675422348603
Arl8a	11.2379199564457	0.0631270023638076
Gpr37l1	1.9171199798584	0.00324113032897214
Rnpep	6.37726992368698	0.0226951897620539
Timm17a	46.2735091149807	0.0565832343193337
Lmod1	8.44101992249489	0.00297731512443799
Shisa4	5.87829497456551	0.0213308506512067
Ipo9	204.954629391432	0.0373308345460118
Nav1	9.32080003619194	0.0160589600788673
Csrp1	18.0550800561905	0.0221613718092295
Tnni1	0.4792799949646	0.00428903580881954
Lad1	0.312954992055893	0.00872284564852163
Tnnt2	4.7534099817276	0.00224882219129558
Tmem9	22.955119907856	0.0311702335102875
