gene	P_normalized_baseline	B_normalized_baseline	P_normalized_TRP_12.5min	B_normalized_TRP_12.5min	B_by_P_baseline	pauseRelease_kelong30_baseline	pauseRelease_kelong45_baseline	pauseRelease_kelong60_baseline	B_by_P_TRP_12.5min	pauseRelease_kelong30_TRP_12.5min	pauseRelease_kelong45_TRP_12.5min	pauseRelease_kelong60_TRP_12.5min	pauseRelease_FC	initiationRate_FC_bound1	initiationRate_FC_bound2	initiationRate_baseline_kelong45_termination_point01	initiationRate_baseline_kelong45_termination_point1	initiationRate_baseline_kelong45_termination_1	initiationRate_TRP_12.5min_kelong45_termination_point01	initiationRate_TRP_12.5min_kelong45_termination_point1	initiationRate_TRP_12.5min_kelong45_termination_1
Clasp1	0.19386914431240268	2.7952420799351723e-05	0.044476133022102	1.935512183708442e-05	0.00014418189598190475	0.004325456879457143	0.006488185319185714	0.008650913758914285	0.0004351799610695937	0.013055398832087811	0.019583098248131717	0.026110797664175622	3.018270484695319	0.22941315999431408	0.6924309696115231	0.0031965503790948543	0.0206447733672111	0.1951270032483735	0.0013157418128898189	0.0053185937848789985	0.0453471135047708
Ralb	0.01753117534660726	1.7128225067108375e-05	0.002533465466661113	1.245435579434318e-05	0.0009770152159491769	0.029310456478475307	0.043965684717712956	0.05862091295695061	0.004915936671817729	0.1474781001545319	0.2212171502317978	0.2949562003090638	5.031586603328243	0.144512014543931	0.7271247163992195	0.0009460818814859494	0.002523887662680603	0.018301945474627136	0.0005857806654120542	0.0008137925574115544	0.003093911477406556
Tmem185b	0.006468436164262439	3.9596010440289494e-05	0.00205520390773704	1.6184496951057866e-05	0.00612141937166422	0.1836425811499266	0.2754638717248899	0.3672851622998532	0.00787488622911311	0.23624658687339328	0.3543698803100899	0.47249317374678657	1.2864477584341976	0.31772809618062975	0.40874059712313626	0.0018465048314556516	0.002428664086239271	0.008250256634075467	0.0007488544018749743	0.000933822753571308	0.002783506270534644
Tmem177	0.08662204383368924	2.8294072910194447e-05	0.03221435560253121	1.4150859131678756e-05	0.00032663825116523344	0.009799147534957003	0.014698721302435505	0.019598295069914007	0.0004392718360185627	0.013178155080556881	0.01976723262083532	0.026356310161113762	1.3448266834993319	0.37189558427392283	0.5001351052071459	0.0021394537192956425	0.009935437664327675	0.087895277114648	0.0009589322169508562	0.0038582242211786656	0.032851144263456755
Dbi	0.18681825471389218	4.819155979448289e-05	0.019692497229697802	2.2314609915279414e-05	0.0002579595868095821	0.0077387876042874625	0.011608181406431195	0.015477575208574925	0.001133152878225483	0.033994586346764485	0.05099187952014673	0.06798917269352897	4.392753501586052	0.10540991970970078	0.46303979390669264	0.004036802737890652	0.02085044566214095	0.18898687490464391	0.0012010824184845517	0.002973407169157354	0.020696654675885377
3110009E18Rik	0.14254839332977123	2.035927795095463e-05	0.022489328279944015	1.0227214587375056e-05	0.00014282362273880918	0.0042847086821642755	0.006427063023246413	0.008569417364328551	0.000454758561930713	0.013642756857921389	0.020464135286882085	0.027285513715842778	3.1840570432970985	0.15776626978823421	0.5023368025139374	0.0023416514410906706	0.015171006840770081	0.1434645608375642	0.0006851179392313177	0.0027091574844262793	0.02294955293637589
Insig2	0.06635361828435364	1.2837667260446838e-05	0.022465084796436684	9.689040741173457e-06	0.00019347350743454474	0.005804205223036342	0.008706307834554514	0.011608410446072684	0.00043129330821445604	0.012938799246433682	0.019408198869650523	0.025877598492867363	2.2292111924438527	0.3385660854267839	0.7547353070152882	0.001241231209563644	0.007213056855155472	0.06693131331107374	0.0006606576813171724	0.002682515312996474	0.02290109162978949
Ccdc93	0.017633600579756242	1.7409655177195675e-05	0.0018403164051303297	1.145046942061897e-05	0.0009873000751294287	0.02961900225388286	0.04442850338082429	0.05923800450776572	0.006222011274092869	0.18666033822278605	0.2799905073341791	0.3733206764455721	6.302046794919167	0.10436418794940003	0.657707996170858	0.0009597704887713678	0.0025467945409494296	0.01841703506273005	0.000533674287979157	0.0006993027644408866	0.0023555875290581832
Ddx18	0.015124001560015948	4.8352374791422765e-05	0.006404742399347162	3.5664072753824276e-05	0.003197062272147225	0.09591186816441676	0.14386780224662513	0.1918237363288335	0.005568385194923613	0.1670515558477084	0.2505773337715626	0.3341031116954168	1.7417193413576364	0.42348199806324327	0.737586786743528	0.002327096881214184	0.0036882570216156194	0.017299858425629974	0.001668930697915564	0.0022453575138568086	0.008009625673269254
Slc35f5	0.023058733783975213	1.1752540835229962e-05	0.00960709608526317	9.104850934941147e-06	0.0005096784994932138	0.015290354984796414	0.02293553247719462	0.030580709969592827	0.0009477214398747979	0.028431643196243937	0.04264746479436591	0.056863286392487875	1.8594495173273766	0.41663589055959666	0.7747134056023037	0.0007594516754251005	0.0028347377159828697	0.02358759812156056	0.0005057892529249833	0.0013704279005986688	0.010016814377335523
