gene	pause_sum	body_density
Tcf24	3.97053015232086	0.0243700172313062
Cops5	16.6258801221848	0.0278898475135028
Cspp1	116.273120522499	0.0247544261562293
Arfgef1	1.59940004348755	0.0177578365557946
Rnf152	0.523810029029846	0.0044233950876575
Pign	63.7204707860947	0.0124597407610381
Relch	10.836000084877	0.0200736366477201
Kdsr	27.2139506340027	0.0272897903308197
Vps4b	81.6698702573776	0.0313645508928707
Dsel	4.49434006214142	0.0084950805645269
Clasp1	51.3130097389221	0.0223303935805478
Ralb	2.92291009426117	0.0143688409208047
Tmem185b	2.37113010883331	0.0186723798414869
Tmem177	37.1663503646851	0.0163261309628044
Tmem37	0	0.0155727948529793
Dbi	22.7196303606033	0.0257448145353367
3110009E18Rik	25.9463906288147	0.0117993432896523
Insig2	25.9184204339981	0.0111784412926722
Ccdc93	2.1232100725174	0.0132106370084708
Ddx18	7.38928020000458	0.0411463584668477
Slc35f5	11.0839000940323	0.0105044497565447
Sulf1	14.7785605192184	0.00742216290319542
Ccnt2	50.1535205841064	0.0550665936668242
Rab3gap1	32.5639405250549	0.0156012795643698
Zranb3	34.3832805156708	0.011641977239409
R3hdm1	23.5472904443741	0.0209035283447279
Ubxn4	9.7883802652359	0.0189298557895519
Mcm6	12.6833305358887	0.0502127014440302
Cxcr4	19.7967104911804	0.0143132579798115
Pfkfb2	16.9297403097153	0.013947383351443
Yod1	3.17083013057709	0.0209182778969298
AA986860	2.64702010154724	0.00858602455709275
Mapkapk2	5.2940399646759	0.0158500623756563
Dyrk3	0.523810029029846	0.0521089194062608
Eif2d	13.4550502300262	0.0351804308776165
Srgap2	4.4663702249527	0.0202704117645676
Pm20d1	4.77023017406464	0.00700636960267111
Slc41a1	19.8806105852127	0.0317412994337442
Rab29	0.523810029029846	0.00827025906199503
Gm29695	0	0.0181005608521355
Lemd1	2.1232100725174	0.00751398134704138
Nuak2	6.3696300983429	0.0227591042575493
Mdm4	14.8065302371979	0.0822731268236595
Ppp1r15b	30.4127601385117	0.0807658752313585
Golt1a	0	0.00503022063324074
Gm28040	0	0.00507333269744962
Etnk2	9.23660039901733	0.00872150695032419
Sox13	0.799700021743774	0.015795933494373
Snrpe	44.887490272522	0.129251246014469
Zbed6	16.0741004943848	0.0778377694022109
Zc3h11a	22.4717206954956	0.0785531493434891
Adora1	0.799700021743774	0.00330937212485563
Ncoa2	15.3303401470184	0.0167938700182986
Tmem183a	8.74076008796692	0.0593922543539097
Adipor1	4.21845018863678	0.049701034021441
Rabif	10.8360003232956	0.0277554604856363
Mgat4e	0	0.00275553796469151
Kdm5b	145.030510544777	0.0954710778364031
Ube2t	30.9645200967789	0.0429165806285352
Arl8a	5.56993007659912	0.0371650569373035
Rnpep	1.59940004348755	0.0168961832804461
Timm17a	11.1118903160095	0.0370755846206351
Shisa4	6.36963021755219	0.0116953822189336
Ipo9	61.2934007644653	0.0305182675578966
Nav1	2.37113010883331	0.0114891108589818
Tnni1	0	0.00246681647709416
Lad1	0	0.00528854635571252
Tmem9	5.01815021038055	0.0239541632322263
Ddx59	2.64702010154724	0.0125270849950387
Tram1	0	0.0289235478483084
Zfp281	64.9880505800247	0.0466046827292675
Lactb2	33.5276608467102	0.0382207122537763
2310009B15Rik	9.51249027252197	0.0180161961346827
Cdc73	50.5133103132248	0.0392086501185273
Glrx2	3.17083013057709	0.0154998990208563
Ro60	19.7687404155731	0.0101936350811547
Uchl5	53.6561515331268	0.0291222890013396
Rgs2	27.3779804706573	0.00573275494125654
Odr4	16.0741006135941	0.0138979933648382
Ivns1abp	34.1073999404907	0.0723894609033954
Swt1	100.778750181198	0.0183156970568241
Trmt1l	56.4392600059509	0.0121891729625358
Rnf2	13.2351002693176	0.0496167771463183
1700025G04Rik	0.523810029029846	0.00917793742474613
Tsen15	1.84732007980347	0.0149455230124268
Arpc5	14.8065304756165	0.0264529075203525
Ncf2	0	0.00177972264074407
Lamc1	12.4354001283646	0.057444491545583
Npl	0	0.0142323833328629
Rgs16	7.60923039913177	0.0265937796390254
Rnasel	0.799700021743774	0.0026045814964505
Glul	74.5564501285553	0.0653902798413521
Acbd6	6.06577026844025	0.0185464320161546
Qsox1	1.84732007980347	0.0105641190901629
Cep350	23.8232002258301	0.0137895401477354
Tor1aip2	145.278439879417	0.0784564433951248
Axdnd1	0.523810029029846	0.00228845933452249
Soat1	13.7029596567154	0.0270046819048554
Tor3a	32.7838904857635	0.0212222400421751
Fam20b	0	0.0128885001085073
Brinp2	7.96903026103973	0.000980962689123995
Terf1	107.588140487671	0.057435849459184
Cop1	0.523810029029846	0.0236298902330985
Cacybp	52.5525907278061	0.0322803594411029
Mrps14	4.21845018863678	0.02792582096053
Rabgap1l	25.8345304727554	0.0101667599421121
Zbtb37	4.79820013046265	0.0170186097567194
Dars2	282.563472867012	0.0188374922694683
Cenpl	3.69464015960693	0.0292495269183316
Klhl20	34.683330655098	0.010499820933446
Prdx6	4.24642014503479	0.0593800047203471
4930558K02Rik	0	0.0015126985308371
Pigc	7.38928020000458	0.0200195120853249
Eef1aknmt	16.3779798746109	0.0296131384401012
Prrc2c	75.6040703058243	0.0509935731168808
Gorab	31.4324300289154	0.0221151860875986
Kifap3	5.01815021038055	0.00593483307029364
Scyl3	3.1988000869751	0.0182160249233035
BC055324	12.3794603347778	0.020854707658207
Mettl18	4.21845018863678	0.0246483691066865
Atp1b1	8.18898022174835	0.0564743719333565
Sft2d2	2.37113010883331	0.0235644350609017
Tiprl	7.16933023929596	0.0301263804965293
Creg1	20.928239941597	0.0158323092895599
